P00201200063,IDP000038568,11 May 2015,(PA) Menunggu Respon Dihapuskan,2012/04002,27-Sep-12,3-Feb-12,3-Feb-12,"2011-026306 09 Feb 2011 JP
","B62J 1/12,B62J 1/28,B62J 15/00,B62J 35/00,B62J 37/00","HONDA MOTOR CO., LTD."
P00201200970,IDP000039301,24 Aug 2015,(PA) Diberi Paten,2013/02323,27-Jun-13,14-Nov-12,14-Nov-12,"2011-283946 26 Dec 2011 JP
","F02D 9/10,F02M 37/04,F02M 69/02","HONDA MOTOR CO., LTD."
P00201000544,IDP000038020,12 Mar 2015,(PA) Diberi Paten,51.0909,3-Mar-11,25-Aug-10,25-Aug-10,"2009-198369 28 Aug 2009 JP
","F02D 11/04,F02D 17/04,F02D 29/02,F02D 41/22","HONDA MOTOR CO., LTD."
P00201000558,IDP000035611,27 Feb 2014,(PA) Diberi Paten,51.0926,3-Mar-11,30-Aug-10,30-Aug-10,"2009-202563 02 Sep 2009 JP
",F02M 35/10,"HONDA MOTOR CO., LTD."
P00201100828,IDP000036339,16 Jul 2014,(PA) Diberi Paten,2012/00125,12-Jan-12,9-Dec-11,9-Dec-11,"2010-282089 17 Dec 2010 JP
","F02D 29/06,F02D 45/00","HONDA MOTOR CO., LTD."
P00201200020,IDP000041933,29 Jun 2016,(PA) Menunggu Respon Dihapuskan,2012/03774,30-Aug-12,16-Jan-12,16-Jan-12,"2011-028850 14 Feb 2011 JP
","B62K 19/32,B62K 21/06","HONDA MOTOR CO., LTD."
P00201200309,IDP000044772,01 Mar 2017,(PA) Diberi Paten,2012/04885,29-Nov-12,20-Apr-12,20-Apr-12,"2011-106689 11 May 2011 JP
",B62K 25/10,"HONDA MOTOR CO., LTD."
P00201100154,IDP000044335,07 Feb 2017,(PA) Diberi Paten,51.463,6-Oct-11,8-Mar-11,8-Mar-11,"2010-075847 29 Mar 2010 JP
","F01L 1/00,F01L 1/02","HONDA MOTOR CO., LTD."
P00201100152,IDP000039703,05 Nov 2015,(PA) Diberi Paten,51.4236,15-Sep-11,8-Mar-11,8-Mar-11,"2010-052744 10 Mar 2010 JP
","F16F 7/00,F16M 11/00","HONDA MOTOR CO., LTD."
P00201300289,IDP000056948,27 Feb 2019,(PA) Diberi Paten,2014/03911,9-Oct-14,18-Apr-13,18-Apr-13,"2012-100100 25 Apr 2012 JP
","B62J 39/00,B62M 7/02,F01P 1/02,F01P 1/10","HONDA MOTOR CO., LTD."
P00201200170,IDP000044624,28 Feb 2017,(PA) Diberi Paten,2012/04345,25-Oct-12,14-Mar-12,14-Mar-12,"2011-077074 31 Mar 2011 JP
",F16H 3/00,"HONDA MOTOR CO., LTD."
P00201300728,IDP000054960,03 Dec 2018,(PA) Dihapuskan,2014/02123,3-Jul-14,18-Sep-13,18-Sep-13,"2012-221095 03 Oct 2012 JP
","B62J 23/00,B62J 27/00","HONDA MOTOR CO., LTD."
P00201200217,IDP000040428,15 Feb 2016,(PA) Diberi Paten,2012/04691,25-Oct-12,26-Mar-12,26-Mar-12,"2011-071575 29 Mar 2011 JP
","F02D 11/00,F02D 9/02","HONDA MOTOR CO., LTD."
P00201100123,IDP000038980,06 Jul 2015,(PA) Dihapuskan,51.409,8-Sep-11,21-Feb-11,21-Feb-11,"2010-045871 02 Mar 2010 JP
","F06H 7/08,F02B 67/06,F16H 7/08","HONDA MOTOR CO., LTD."
P00201200192,IDP000043037,17 Oct 2016,(PA) Diberi Paten,2012/04128,27-Sep-12,16-Mar-12,16-Mar-12,"2011-064721 23 Mar 2011 JP
",B62J 6/00,"HONDA MOTOR CO., LTD."
P00201300669,IDP000052414,06 Aug 2018,(PA) Diberi Paten,2014/01302,5-Jun-14,4-Sep-13,4-Sep-13,"2012-216288 28 Sep 2012 JP
","B62J 99/00,B62K 11/00","HONDA MOTOR CO., LTD."
P00201200171,IDP000039712,05 Nov 2015,(PA) Diberi Paten,2012/04186,25-Oct-12,14-Mar-12,14-Mar-12,"2011-077073 31 Mar 2011 JP
","B62K 25/28,F16H 3/00,F16H 3/08,F16H 3/16","HONDA MOTOR CO., LTD."
P00201000427,IDP000032516,12 Dec 2012,(PA) Dihapuskan,51.0916,3-Mar-11,9-Jul-10,9-Jul-10,"2009-192789 24 Aug 2009 JP
","B62K 11/04,F02B 19/04,F02F 1/20","HONDA MOTOR CO., LTD."
P00201400907,IDP000048762,05 Dec 2017,(PA) Diberi Paten,2015/04631,23-Oct-15,18-Feb-14,18-Feb-14,"2013-042783 05 Mar 2013 JP
","B62J 6/02,H03K 17/00,H03K 17/18","HONDA MOTOR CO., LTD."
P00201100002,IDP000044061,16 Jan 2017,(PA) Diberi Paten,51.3563,28-Jul-11,4-Jan-11,4-Jan-11,"2010-012428 22 Jan 2010 JP
","B62J 35/00,B62J 9/00,B62K 11/00","HONDA MOTOR CO., LTD."
P00201100121,IDP000036276,10 Jul 2014,(PA) Diberi Paten,51.432,22-Sep-11,21-Feb-11,21-Feb-11,"2010-064199 19 Mar 2010 JP
",B62L 5/00,"HONDA MOTOR CO., LTD."
P00201100167,IDP000040414,15 Feb 2016,(PA) Diberi Paten,51.4333,22-Sep-11,14-Mar-11,14-Mar-11,"2010-058684 16 Mar 2010 JP
","F02B 61/02,F02D 9/10,F02M 35/10","HONDA MOTOR CO., LTD."
P00201500379,IDP000064663,19 Nov 2019,(PA) Diberi Paten,2016/05194,23-Sep-16,23-Jan-15,10-Jul-13,"2012-163927 24 Jul 2012 JP
",F16H 57/04,"HONDA MOTOR CO.,LTD."
P00201100320,IDP000043248,07 Nov 2016,(PA) Diberi Paten,2012/05246,27-Dec-12,9-Jun-11,9-Jun-11,"2010-134260 11 Jun 2010 JP
","B62K 11/00,B62M 1/00","HONDA MOTOR CO., LTD."
P00201404186,IDP000045810,15 May 2017,(PA) Diberi Paten,2016/03043,22-Apr-16,10-Jul-14,10-Jul-14,"2013-160920 02 Aug 2013 JP
","F01M 13/00,F01M 13/04","HONDA MOTOR CO., LTD."
P00201200654,,10 Aug 2012,(PA) Ditolak,2013/00665,28-Mar-13,,-,"2011-208317 25 Sep 2011 JP
","B60K 11/06,B62K 11/04","HONDA MOTOR CO., LTD."
